gene,genotype,experiment,value,measure
cd81a,mutant,2.0,119.03613323811086,norm_adiposity
cd81a,mutant,2.0,188.74906340225422,norm_adiposity
cd81a,mutant,2.0,208.21945833526195,norm_adiposity
cd81a,mutant,2.0,268.75047833536684,norm_adiposity
cd81a,mutant,2.0,166.56911066804793,norm_adiposity
cd81a,mutant,2.0,279.41878901918017,norm_adiposity
cd81a,mutant,2.0,322.90477404591024,norm_adiposity
cd81a,mutant,2.0,256.2543432144754,norm_adiposity
cd81a,mutant,2.0,325.7293180079783,norm_adiposity
cd81a,mutant,2.0,155.89448801406894,norm_adiposity
ptenb,control,2.0,306.66695914036353,norm_adiposity
ptenb,control,2.0,306.66695914036353,norm_adiposity
ptenb,control,2.0,427.22635056460524,norm_adiposity
ptenb,control,2.0,397.2815894291526,norm_adiposity
ptenb,control,2.0,297.5617126072994,norm_adiposity
ptenb,control,2.0,434.81945923855267,norm_adiposity
ptenb,control,2.0,587.4421951867788,norm_adiposity
ptenb,control,2.0,367.94393599348314,norm_adiposity
ptenb,control,2.0,314.4787712360269,norm_adiposity
ptenb,control,2.0,520.9355946664595,norm_adiposity
ptenb,control,2.0,151.15154955905126,norm_adiposity
ptenb,control,2.0,259.0113983729061,norm_adiposity
ptenb,control,2.0,125.22183658425583,norm_adiposity
ptenb,control,2.0,217.14576170662025,norm_adiposity
ptenb,mutant,2.0,330.94060079630697,norm_adiposity
ptenb,mutant,2.0,447.12522577626135,norm_adiposity
ptenb,mutant,2.0,616.0032988259704,norm_adiposity
ptenb,mutant,2.0,443.07458238582427,norm_adiposity
ptenb,mutant,2.0,377.8609767412309,norm_adiposity
ptenb,mutant,2.0,224.90547900693397,norm_adiposity
ptenb,mutant,2.0,336.09324354923393,norm_adiposity
ptenb,mutant,2.0,286.5068440438609,norm_adiposity
ptenb,mutant,2.0,260.9139734888663,norm_adiposity
ptenb,mutant,2.0,322.8843893714022,norm_adiposity
ptenb,mutant,2.0,204.98215486680752,norm_adiposity
ptenb,mutant,2.0,31.559732688851128,norm_adiposity
pid1,control,2.0,306.66695914036353,norm_adiposity
pid1,control,2.0,306.66695914036353,norm_adiposity
pid1,control,2.0,427.22635056460524,norm_adiposity
pid1,control,2.0,397.2815894291526,norm_adiposity
pid1,control,2.0,297.5617126072994,norm_adiposity
